Trecho,Coocorrência,Categoria
O código contendo as coocorrências que fazem muitas chamadas de funções de outras classes,Chamadas execessivas de funções,Complexity of Methods and Functions
Códigos contendo Disperse Coupling por chamar vários métodos e por isso demanda muita cautela na sua remoção,Cuidado da refatoração,Refactoring Effort
pois uma manutenção nesse sistema seria bastante trabalhosa,Manutenção Trabalhosa,Refactoring Effort
identificar as partes sejam retiradas do método para melhorar sua identificação sem mexer em sua funcionalidade,Identificação de trechos do código,Difficulty in Understanding the Source Code
é mais difícil de entender códigos contendo coocorrências,Entendimento do código,Difficulty in Understanding the Source Code
as coocorrências contribuem bastante para o acoplamento tornado trabalhosa a refatoração,Acoplamento e refatoração mais difícil,Refactoring Effort
um método realizando o trabalho de outro,Método mal planejado,Complexity of Methods and Functions
as coocorrências deixam mais complicado entender o que está acontecendo no código,Coocorrências prejudicando a legibilidade,Difficulty in Understanding the Source Code
excesso de métodos chamados na camada de controller,Código execessivo,Large Amount of Source Code 
as coocorrências são difíceis pela quantidade de vezes que elas aparecem ,Quantidade de coocorrências,Large Amount of Source Code 
"Na issue #32 as coocorrências fazem utilização de vários métodos e funções de outras classes, já na issue #5 elas deixam o método complexo",Coocorrências e complexidade de métodos,Complexity of Methods and Functions
as coocorrências afetam a legibilidade tanto da classe quanto do método afetado,Falta de legibilidade,Difficulty in Understanding the Source Code
Afeta o entendimento do código e portanto a legibilidade do código da classe ,Compreensão do código de uma classe,Difficulty in Understanding the Source Code
é muito difícil de remover essas anomalias,DIficuldade de refatoração,Refactoring Effort
o código fica muito grande com dois smells coocorrendo,Coocorrência de smells,Large Amount of Source Code 
dificuldade da remoção dessas coocorrências em um projeto em andamento ou em produção,Remoção em projeto em produção,Refactoring Effort
impacto negativo em manutenções do código,Previsão de dificuldade na manutenção,Refactoring Effort
impacto no mapeamento das classes para realizar as refatorações,Mapeamento das classes,Refactoring Effort
rastreabilidade do código,Entendimento do código,Difficulty in Understanding the Source Code
as coocorrências realmente deixam o código muito grande e desorganizado,Código mal organizado,Large Amount of Source Code 
coocorrências deixam os métodos e classes bem complexas deixando difícil de entender,Complexidade de classes e métodos,Difficulty in Understanding the Source Code
coocorrências realmente dificultam a manutenção do código,Dificuldade de Manutenção,Refactoring Effort
Essas coocorrências são mais prejudiciais por conta que muitas pessoas não são acostumadas a refatorá-las e removê-las principalmente as que tem Disperse Coupling,Remoção difícil por falta de conhecimento,Refactoring Effort
porque afeta a legibilidade pois algum code smell junto com Long Method é complicado de analisar,Smell junto com Long Method,Difficulty in Understanding the Source Code
as coocorrências estavam deixando a classe sem sentido e desorganizada pois tinha métodos que não pertenciam a determinada classe,Entendimento da classe,Difficulty in Understanding the Source Code
o acoplamento provocado pelo Disperse Coupling deixa difícil fazer mudança ou manutenção,Acoplamento e refatoração,Refactoring Effort
eu tenho dificuldade na remoção de coocorrências e verificar se a solução que eu dei foi adequada e de fato solucionou o smell,Dificuldade de remoção,Difficulty in Understanding the Source Code
algumas vezes foi difícil entender onde a anomalia estava afetando,Identificação do smell,Difficulty in Understanding the Source Code
eu tive dificuldade no que fazer para refatorar a anomalia e e qual operação de refatoração utilizar em cada situação,Insegurança na refatoração,Difficulty in Understanding the Source Code
